area_id,area_name,area_display_name,map_type,sheet_id,que_id,start_time,end_time
11001,"1.朱諾平原","1.朱諾平原",101,bgm_M61,bgm_M61,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11002,"2.帕拉斯高原","2.帕拉斯高原",101,bgm_M61,bgm_M61_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11003,"3.赫柏丘陵","3.赫柏丘陵",101,bgm_M61,bgm_M61_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11004,"4.維斯塔溪谷","4.維斯塔溪谷",101,bgm_M61,bgm_M61_04,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11005,"5.刻瑞斯森林","5.刻瑞斯森林",101,bgm_M62,bgm_M62_01,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11006,"6.佛洛拉湖畔","6.佛洛拉湖畔",101,bgm_M62,bgm_M62_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11007,"7.墨提斯大瀑布","7.墨提斯大瀑布",101,bgm_M62,bgm_M62_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11008,"8.伊麗絲樹海","8.伊麗絲樹海",101,bgm_M42,bgm_M42_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11009,"9.弗麗嘉雪原","9.弗麗嘉雪原",101,bgm_M58,bgm_M58,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11010,"10.洛麗泰海岸","10.洛麗泰海岸",101,bgm_M101,bgm_M101,"2018/10/05 16:00:00","2030/12/17 14:59:59"
11011,"11.蓋奴亞荒漠","11.蓋奴亞荒漠",101,bgm_M93,bgm_M93,"2018/11/07 16:00:00","2030/12/17 14:59:59"
11012,"12.波諾尼亞砂丘","12.波諾尼亞砂丘",101,bgm_M94,bgm_M94,"2018/12/07 16:00:00","2030/12/17 14:59:59"
11013,"13.朵羅西亞溼地","13.朵羅西亞濕地",101,bgm_M118,bgm_M118,"2019/01/03 16:00:00","2030/12/17 14:59:59"
11014,"14.尤金尼亞熱地","14.尤金尼亞熱地",101,bgm_M95,bgm_M95,"2019/01/30 16:00:00","2030/12/17 14:59:59"
11015,"15.塔利亞火山","15.塔利亞火山",101,bgm_M96,bgm_M96,"2019/02/18 16:00:00","2030/12/17 14:59:59"
11016,"16.泰美斯銀嶺","16.泰美斯銀嶺",101,bgm_M140,bgm_M140,"2019/03/21 16:00:00","2030/12/17 14:59:59"
11017,"17.菲得斯冰原","17.菲得斯冰原",101,bgm_M141,bgm_M141,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11018,"18.法艾頓草原","18.法艾頓\n　　　　　草原‧北部",102,bgm_M179,bgm_M179,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11019,"19.法艾頓草原‧南部","19.法艾頓\n　　　　　草原‧南部",102,bgm_M179,bgm_M179,"2019/06/17 16:00:00","2030/12/17 14:59:59"
11020,"20.卡斯塔利亞樹林‧西部","20.卡斯塔利亞\n　　　　　樹林‧西部",102,bgm_M180,bgm_M180,"2019/08/15 16:00:00","2030/12/17 14:59:59"
11021,"21.卡斯塔利亞樹林‧東部","21.卡斯塔利亞\n　　　　　樹林‧東部",102,bgm_M180,bgm_M180,"2019/08/15 16:00:00","2030/12/17 14:59:59"
11022,"22.馬提爾德岩峰‧南部","22.馬提爾德\n　　　　　岩峰‧南部",102,bgm_M232,bgm_M232,"2019/09/17 16:00:00","2030/12/17 14:59:59"
11023,"23.馬提爾德岩峰‧北部","23.馬提爾德\n　　　　　岩峰‧北部",102,bgm_M232,bgm_M232,"2019/09/17 16:00:00","2030/12/17 14:59:59"
11024,"24.雷蒂烏斯群峰‧西麓","24.雷蒂烏斯\n　　　　　群峰‧西麓",102,bgm_M233,bgm_M233,"2019/10/15 16:00:00","2030/12/17 14:59:59"
11025,"25.雷蒂烏斯群峰‧東麓","25.雷蒂烏斯\n　　　　　群峰‧東麓",102,bgm_M233,bgm_M233,"2019/11/15 16:00:00","2030/12/17 14:59:59"
11026,"26.佩特羅大森林‧西部","26.佩特羅大森林‧西部",102,bgm_M260,bgm_M260,"2019/12/13 16:00:00","2030/12/17 14:59:59"
11027,"27.佩特羅大森林‧東部","27.佩特羅大森林‧東部",102,bgm_M260,bgm_M260,"2020/01/10 16:00:00","2030/12/17 14:59:59"
11028,"28.迪茲塔爾河蝕岸‧北部","28.迪茲塔爾河\n　　　　　蝕岸‧北部",102,bgm_M278,bgm_M278_E28,"2020/02/14 16:00:00","2030/12/17 14:59:59"
11029,"29.迪茲塔爾河蝕岸‧南部","29.迪茲塔爾河\n　　　　　蝕岸‧南部",102,bgm_M278,bgm_M278_E29,"2020/03/13 16:00:00","2030/12/17 14:59:59"
11030,"30.弗泰拉斷崖‧北部","30.弗泰拉斷崖‧北部",102,bgm_M293,bgm_M293,"2020/04/14 16:00:00","2030/12/17 14:59:59"
11031,"31.弗泰拉斷崖‧南部","31.弗泰拉斷崖‧南部",102,bgm_M293,bgm_M293,"2020/05/15 16:00:00","2030/12/17 14:59:59"
11032,"32.法斯奇亞森林‧南部","32.法斯奇亞\n　　　　　　森林‧南部",102,bgm_M339,bgm_M339,"2020/06/15 16:00:00","2030/12/17 14:59:59"
11033,"33.法斯奇亞森林‧東部","33.法斯奇亞\n　　　　　　森林‧東部",102,bgm_M339,bgm_M339,"2020/07/13 16:00:00","2030/12/17 14:59:59"
11034,"34.迪克斯提亞岩崖‧西壁","34.迪克斯提亞\n　　　　　岩崖‧西壁",102,bgm_M374,bgm_M374,"2020/08/17 16:00:00","2030/12/17 14:59:59"
11035,"35.迪克斯提亞岩崖‧東壁","35.迪克斯提亞\n　　　　　岩崖‧東壁",102,bgm_M374,bgm_M374,"2020/09/14 16:00:00","2030/12/17 14:59:59"
12001,"1.朱諾平原","1.朱諾平原",101,bgm_M61,bgm_M61,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12002,"2.帕拉斯高原","2.帕拉斯高原",101,bgm_M61,bgm_M61_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12003,"3.赫柏丘陵","3.赫柏丘陵",101,bgm_M61,bgm_M61_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12004,"4.維斯塔溪谷","4.維斯塔溪谷",101,bgm_M61,bgm_M61_04,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12005,"5.刻瑞斯森林","5.刻瑞斯森林",101,bgm_M62,bgm_M62_01,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12006,"6.佛洛拉湖畔","6.佛洛拉湖畔",101,bgm_M62,bgm_M62_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12007,"7.墨提斯大瀑布","7.墨提斯大瀑布",101,bgm_M62,bgm_M62_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12008,"8.伊麗絲樹海","8.伊麗絲樹海",101,bgm_M42,bgm_M42_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12009,"9.弗麗嘉雪原","9.弗麗嘉雪原",101,bgm_M58,bgm_M58,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12010,"10.洛麗泰海岸","10.洛麗泰海岸",101,bgm_M101,bgm_M101,"2018/10/05 16:00:00","2030/12/17 14:59:59"
12011,"11.蓋奴亞荒漠","11.蓋奴亞荒漠",101,bgm_M93,bgm_M93,"2018/11/07 16:00:00","2030/12/17 14:59:59"
12012,"12.波諾尼亞砂丘","12.波諾尼亞砂丘",101,bgm_M94,bgm_M94,"2018/12/07 16:00:00","2030/12/17 14:59:59"
12013,"13.朵羅西亞溼地","13.朵羅西亞濕地",101,bgm_M118,bgm_M118,"2019/01/03 16:00:00","2030/12/17 14:59:59"
12014,"14.尤金尼亞熱地","14.尤金尼亞熱地",101,bgm_M95,bgm_M95,"2019/01/30 16:00:00","2030/12/17 14:59:59"
12015,"15.塔利亞火山","15.塔利亞火山",101,bgm_M96,bgm_M96,"2019/02/18 16:00:00","2030/12/17 14:59:59"
12016,"16.泰美斯銀嶺","16.泰美斯銀嶺",101,bgm_M140,bgm_M140,"2019/03/21 16:00:00","2030/12/17 14:59:59"
12017,"17.菲得斯冰原","17.菲得斯冰原",101,bgm_M141,bgm_M141,"2019/04/19 16:00:00","2030/12/17 14:59:59"
12018,"18.法艾頓草原","18.法艾頓\n　　　　　草原‧北部",102,bgm_M179,bgm_M179,"2019/05/21 16:00:00","2030/12/17 14:59:59"
12019,"19.法艾頓草原‧南部","19.法艾頓\n　　　　　草原‧南部",102,bgm_M179,bgm_M179,"2019/06/17 16:00:00","2030/12/17 14:59:59"
12020,"20.卡斯塔利亞樹林‧西部","20.卡斯塔利亞\n　　　　　樹林‧西部",102,bgm_M180,bgm_M180,"2019/08/15 16:00:00","2030/12/17 14:59:59"
12021,"21.卡斯塔利亞樹林‧東部","21.卡斯塔利亞\n　　　　　樹林‧東部",102,bgm_M180,bgm_M180,"2019/08/15 16:00:00","2030/12/17 14:59:59"
12022,"22.馬提爾德岩峰‧南部","22.馬提爾德\n　　　　　岩峰‧南部",102,bgm_M232,bgm_M232,"2019/09/17 16:00:00","2030/12/17 14:59:59"
12023,"23.馬提爾德岩峰‧北部","23.馬提爾德\n　　　　　岩峰‧北部",102,bgm_M232,bgm_M232,"2019/09/17 16:00:00","2030/12/17 14:59:59"
12024,"24.雷蒂烏斯群峰‧西麓","24.雷蒂烏斯\n　　　　　群峰‧西麓",102,bgm_M233,bgm_M233,"2019/10/15 16:00:00","2030/12/17 14:59:59"
12025,"25.雷蒂烏斯群峰‧東麓","25.雷蒂烏斯\n　　　　　群峰‧東麓",102,bgm_M233,bgm_M233,"2019/11/15 16:00:00","2030/12/17 14:59:59"
12026,"26.佩特羅大森林‧西部","26.佩特羅大森林‧西部",102,bgm_M260,bgm_M260,"2019/12/13 16:00:00","2030/12/17 14:59:59"
12027,"27.佩特羅大森林‧東部","27.佩特羅大森林‧東部",102,bgm_M260,bgm_M260,"2020/01/10 16:00:00","2030/12/17 14:59:59"
12028,"28.迪茲塔爾河蝕岸‧北部","28.迪茲塔爾河\n　　　　　蝕岸‧北部",102,bgm_M278,bgm_M278_E28,"2020/02/14 16:00:00","2030/12/17 14:59:59"
12029,"29.迪茲塔爾河蝕岸‧南部","29.迪茲塔爾河\n　　　　　蝕岸‧南部",102,bgm_M278,bgm_M278_E29,"2020/03/13 16:00:00","2030/12/17 14:59:59"
12030,"30.弗泰拉斷崖‧北部","30.弗泰拉斷崖‧北部",102,bgm_M293,bgm_M293,"2020/04/14 16:00:00","2030/12/17 14:59:59"
12031,"31.弗泰拉斷崖‧南部","31.弗泰拉斷崖‧南部",102,bgm_M293,bgm_M293,"2020/05/15 16:00:00","2030/12/17 14:59:59"
12032,"32.法斯奇亞森林‧南部","32.法斯奇亞\n　　　　　　森林‧南部",102,bgm_M339,bgm_M339,"2020/06/15 16:00:00","2030/12/17 14:59:59"
12033,"33.法斯奇亞森林‧東部","33.法斯奇亞\n　　　　　　森林‧東部",102,bgm_M339,bgm_M339,"2020/07/13 16:00:00","2030/12/17 14:59:59"
12034,"34.迪克斯提亞岩崖‧西壁","34.迪克斯提亞\n　　　　　岩崖‧西壁",102,bgm_M374,bgm_M374,"2020/08/17 16:00:00","2030/12/17 14:59:59"
12035,"35.迪克斯提亞岩崖‧東壁","35.迪克斯提亞\n　　　　　岩崖‧東壁",102,bgm_M374,bgm_M374,"2015/12/17 15:00:00","2030/12/17 14:59:59"
13018,"18.法艾頓草原‧北部","18.法艾頓\n　　　　　草原‧北部",102,bgm_M179,bgm_M179,"2020/01/02 16:00:00","2030/12/17 14:59:00"
13019,"19.法艾頓草原‧南部","19.法艾頓\n　　　　　草原‧南部",102,bgm_M179,bgm_M179,"2020/02/04 16:00:00","2030/12/17 14:59:59"
13020,"20.卡斯塔利亞樹林‧西部","20.卡斯塔利亞\n　　　　　樹林‧西部",102,bgm_M180,bgm_M180,"2020/05/05 16:00:00","2030/12/17 14:59:59"
13021,"21.卡斯塔利亞樹林‧東部","21.卡斯塔利亞\n　　　　　樹林‧東部",102,bgm_M180,bgm_M180,"2020/07/02 16:00:00","2030/12/17 14:59:59"
13022,"22.馬提爾德岩峰‧南部","22.馬提爾德\n　　　　　岩峰‧南部",102,bgm_M232,bgm_M232,"2020/09/04 16:00:00","2030/12/17 14:59:59"
18001,"聖跡調查冒險","聖跡調查冒險",0,"","","2019/03/06 16:00:00","2030/12/17 14:59:59"
19001,"神殿調查冒險","神殿調查冒險",0,"","","2020/01/02 16:00:00","2030/12/17 14:59:00"
21001,"瑪那冒險","瑪那冒險",0,"","","2015/12/17 15:00:00","2030/12/17 14:59:59"
21002,"經驗值冒險","經驗值冒險",0,"","","2015/12/17 15:00:00","2030/12/17 14:59:59"
